Arc_ID,open_water_fraction
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0.48419
240,0.57994
241,0.33921
242,0
243,0
244,2.33579
245,0
246,0
247,0.45159
248,0
249,0
250,0
251,0
252,0.43616
253,3.55787
254,0.13224
255,0
256,0
257,0
258,1.91193
259,1.40727
260,0.14802
261,0.37127
262,0.98869
263,2.29807
264,3.14432
265,0.79224
266,0.94279
267,0.63503
268,2.46812
269,0
270,0
271,1.77066
272,3.17656
273,2.24437
274,2.52402
275,0.59828
276,0
277,0.66427
278,2.28435
279,2.4432
280,4.69267
281,1.6007
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0.18345
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0.2694
305,0.06254
306,0
307,0
308,0.13759
309,0
310,1.9694
311,0.09603
312,0
313,2.48345
314,0.44495
315,0.02558
316,0
317,0.27585
318,0
319,0.47086
320,0.35725
321,1.24137
322,0.59012
323,0.41291
324,0
325,0.12157
326,0
327,0
328,0
329,0.26652
330,0.05501
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0.5688
341,9.42596
342,20.4574
343,21.8091
344,20.1078
345,15.106
346,12.2046
347,12.61711
348,9.41982
349,5.65118
350,2.37558
351,0.7043
352,1.32829
353,1.88839
354,0.14595
355,0.83425
356,0
357,0.14124
358,0
359,0
360,0.18301
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1.42679
374,0.51175
375,0.91957
376,0.12183
377,0
378,0
379,0.08923
380,0
381,0
382,0.53026
383,0.15125
384,0
385,0
386,0
387,0
388,3.97904
389,7.40313
390,7.27073
391,4.43503
392,17.15994
393,13.39437
394,9.57162
395,2.79276
396,0.00052
397,1.21273
398,2.59616
399,0.43994
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,1.85543
413,1.12852
414,0
415,1.54471
416,6.33906
417,0.51149
418,0
419,0
420,0.80128
421,0
422,0
423,0
424,0
425,0
426,3.11744
427,0.67711
428,2.3467
429,0
430,0
431,0.2014
432,2.69955
433,2.19113
434,1.80999
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0.01552
456,1.33539
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0.11873
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0.17707
487,1.91042
488,0.96764
489,0.24919
490,0
491,0.43574
492,0
493,0
494,0
495,1.55532
496,1.01578
497,0.77808
498,0.46238
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0.52473
509,0
510,0
511,0.04046
512,0
513,0.27235
514,0
515,0
516,0
517,0.53929
518,1.77061
519,4.32532
520,0.06302
521,0.14437
522,0.70324
523,0.4815
524,0
525,0
526,0
527,0.35891
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0.31793
538,0.4024
539,0
540,0
541,0
542,0
543,0
544,0.8043
545,0
546,0
547,2.23455
548,0.3686
549,0.23503
550,0.15854
551,2.69265
552,0.39399
553,0.17222
554,0.72337
555,0.81896
556,0.95787
557,0.10211
558,0.36423
559,0.61748
560,1.62798
561,1.65705
562,1.11012
563,0.35169
564,0
565,0
566,0.04915
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0.39239
591,0
592,0.41454
593,0
594,0.0596
595,0.19394
596,1.58372
597,3.19383
598,1.11302
599,0.73449
600,0.18155
601,0
602,0
603,0.31642
604,6.04006
605,9.04564
606,8.31396
607,8.98211
608,5.55338
609,3.01424
610,2.1547
611,4.12165
612,3.55329
613,7.7579
614,2.80949
615,0
616,0
617,0
618,0.57121
619,0.13488
620,5.07693
621,9.7056
622,3.79317
623,4.59466
624,0.29705
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0.32897
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0.30383
661,0
662,0
663,0
664,0
665,0
666,0.02823
667,0
668,0
669,0
670,0.00583
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0.12073
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0.20969
697,2.03733
698,4.6473
699,2.26194
700,0.08893
701,0
702,0.51301
703,0
704,0
705,0.05431
706,1.16214
707,2.21627
708,0.30147
709,0.24213
710,0.23672
711,0.28232
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0.2175
726,2.41829
727,3.44453
728,1.43677
729,0.75184
730,0.35997
731,0
732,0.15755
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
