k-Value-Table for Pearson-Type III-Distribution,,,,,,,,,,,,,,,,
Return Period Tn  (in years),,,,,,,,,,,,,,,,
,1.0101,1.0526,1.111,1.25,1.5,2,2.5,3,5,10,20,25,40,50,100,200
Schiefe  cs,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte
5,-0.4,-0.4,-0.4,-0.3999,-0.3983,-0.379,-0.3334,-0.2684,0.058,0.7955,1.7729,2.1243,2.9093,3.3001,4.573,5.9164
5.1,-0.3922,-0.3922,-0.3922,-0.3921,-0.3909,-0.3743,-0.3328,-0.272,0.0434,0.7745,1.7556,2.1099,2.9028,3.2982,4.5882,5.9517
5.2,-0.3846,-0.3846,-0.3846,-0.3846,-0.3836,-0.3694,-0.3319,-0.2752,0.0293,0.7536,1.738,2.0949,2.8957,3.2957,4.6025,5.986
5.3,-0.3774,-0.3774,-0.3774,-0.3773,-0.3766,-0.3645,-0.3307,-0.2779,0.0156,0.7328,1.7199,2.0795,2.888,3.2924,4.6159,6.0193
5.4,-0.3704,-0.3704,-0.3704,-0.3704,-0.3698,-0.3596,-0.3291,-0.2801,0.0024,0.712,1.7016,2.0637,2.8796,3.2884,4.6285,6.0517
5.5,-0.3636,-0.3636,-0.3636,-0.3636,-0.3632,-0.3546,-0.3273,-0.2818,-0.0103,0.6912,1.6829,2.0474,2.8706,3.2838,4.6402,6.0831
5.6,-0.3571,-0.3571,-0.3571,-0.3571,-0.3568,-0.3496,-0.3252,-0.2832,-0.0225,0.6706,1.6639,2.0307,2.8611,3.2785,4.6511,6.1135
5.7,-0.3509,-0.3509,-0.3509,-0.3509,-0.3506,-0.3445,-0.3229,-0.2841,-0.0343,0.6501,1.6446,2.0137,2.851,3.2726,4.6612,6.143
5.8,-0.3448,-0.3448,-0.3448,-0.3448,-0.3447,-0.3396,-0.3203,-0.2847,-0.0455,0.6297,1.6251,1.9963,2.8403,3.2661,4.6705,6.1716
5.9,-0.339,-0.339,-0.339,-0.339,-0.3389,-0.3346,-0.3176,-0.2849,-0.0563,0.6094,1.6054,1.9785,2.8291,3.259,4.679,6.1993
6,-0.3333,-0.3333,-0.3333,-0.3333,-0.3332,-0.3297,-0.3147,-0.2848,-0.0666,0.5893,1.5854,1.9605,2.8174,3.2513,4.6868,6.2262
