ID_1,WLM_AID
2906700,27693
2906800,30553
2906900,25968
2906901,24191
2907010,22750
2907020,24586
2907043,25476
2907060,25472
2907080,25470
2907400,24126
2907403,25906
2908010,19709
2908011,20544
2908050,19283
2908099,19300
2908100,18875
2908101,18884
2908102,20551
2908105,24579
2908180,23654
2908190,22286
2908200,22283
2908210,20973
2908303,21390
2908680,18020
2909150,9340
2909151,12291
2909152,15571
2909153,18873
2909154,20950
2909156,21375
2909158,23631
2909159,24554
2909161,24099
2909163,24103
2909164,24560
2909240,24553
2909260,23173
2909314,22717
2909321,22721
2909360,20536
2909391,18453
2909400,15048
2909401,15583
2909403,18028
2909540,14493
2909560,17084
2909590,8200
2909702,16119
2909704,12886
2909705,11715
2910100,17054
2910120,15528
2910130,15532
2910140,17049
2910150,15535
2910160,15540
2910170,16062
2910200,17539
2910230,18856
2910231,18442
2910240,18426
2910260,19260
2910300,20103
2910310,19265
2910312,20107
2910313,19693
2910314,20528
2910319,21372
2910326,20940
2910441,25867
2910470,23620
2910473,24545
2910490,22706
2910560,23615
2910581,21361
2910600,17981
2910601,19261
2910603,21357
2910606,22694
2910607,23158
2910608,24081
2910660,22700
2911095,16547
2911097,18824
2911098,19237
2911099,20083
2911100,21338
2911105,25856
2911207,24950
2911391,20082
2911452,21339
2911456,20924
2911570,21792
2911590,23150
2911630,19226
2911650,17944
2911671,20478
2911680,20893
2911700,17513
2911703,17036
2911731,17517
2911828,20064
2911860,20480
2911870,19646
2911875,18815
2912550,13367
2912551,13911
2912553,14985
2912556,13917
2912600,10485
2912602,16041
2912640,11090
2912657,17499
2913200,26249
2916550,32646
2916860,33017
2916890,33022
2917100,32272
2917400,35409
2917900,34755
2919100,24481
2964080,47431
2964130,48496
2966998,49080
2969010,45959
2969087,48501
2969100,47882
2969150,48303
2969200,48505
2997110,12263
2997115,9901
2997120,11109
2997200,11098
2997250,10517
2997510,12270
2997520,10521
2997580,7096
2998450,7775
2998454,15692
2998500,9474
2998502,15167
2998505,15159
2998510,7784
2998511,14613
2998702,8352
2998720,8918
2998735,11277
2998740,9480
2999110,5801
2999112,8862
2999140,7730
2999150,5048
2999151,6634
2999461,9431
2999470,8865
2999471,9438
2999480,7734
2999900,5400
2999910,5067
2999920,7703
2999922,8249
3102500,51788
3103150,52161
3103300,50227
3103500,51792
3142500,53325
3179200,65822
3179250,65931
